"sslc","hsc","cgpa","school_type","no_of_miniprojects","no_of_projects","coresub_skill","aptitude_skill","problemsolving_skill","programming_skill","abstractthink_skill","design_skill","first_computer","first_program","lab_programs","ds_coding","technology_used","sympos_attend","sympos_won","extracurricular","learning_style","college_bench","clg_teachers_know","college_performence ","college_skills","ROLE"
"2","3","2","3","1","1","1","1","2","4","2","2","2","3","4","1","1","3","1","2","2","4","3","4","5","Technical Support"
"3","1","2","2","2","1","1","3","2","4","3","3","1","3","4","2","2","3","2","3","2","5","3","3","4","Software Developer"
"3","4","2","2","1","1","1","2","3","3","2","3","2","2","2","1","1","4","3","1","4","3","3","3","4","UI/UX Designer"
"3","4","2","1","1","1","1","1","3","2","2","2","2","3","4","2","1","3","2","1","2","1","4","4","3","Technical Support"
"2","3","2","4","1","1","1","4","3","3","2","3","2","4","4","2","1","2","1","3","1","5","4","3","1","Data Analyst"
"1","1","1","1","1","1","2","2","3","2","3","2","1","3","4","2","1","3","2","1","2","5","3","3","5","Technical Writer"
"3","3","2","2","2","1","2","4","3","3","3","3","2","3","4","1","1","3","2","1","1","5","4","4","4","Web Developer"
"3","3","2","2","1","1","2","1","2","2","2","2","2","1","4","1","1","3","3","3","4","5","4","3","3","Technical Support"
"3","2","3","3","1","1","1","2","3","5","2","2","1","3","4","1","1","3","3","3","2","5","4","3","3","Technical Writer"
"4","4","2","2","1","1","2","2","3","3","3","2","2","3","4","2","1","1","2","2","3","5","4","4","5","Software Tester"
"4","4","2","2","1","1","1","3","3","2","3","2","1","3","4","3","1","3","3","3","2","5","4","4","3","Software Developer"
"4","4","3","1","1","1","1","4","3","2","2","2","1","3","4","2","1","2","3","1","1","3","4","4","4","Technical Support"
"3","3","3","2","1","1","2","4","2","3","3","4","2","3","4","3","1","3","1","2","2","5","4","4","3","Web Developer"
"4","4","2","2","1","1","2","3","3","3","2","2","2","3","4","2","1","3","1","1","2","5","2","3","4","Software Developer"
"4","3","1","1","1","1","2","4","3","3","2","4","1","2","4","3","1","3","2","2","2","5","4","4","3","Software Developer"
"4","3","3","2","1","1","2","3","3","2","3","3","1","3","4","3","1","4","1","2","2","4","4","4","3","Web Developer"
"2","3","1","2","2","1","2","3","3","4","3","3","2","4","4","4","1","3","3","1","1","3","4","3","5","Technical Writer"
"4","4","4","2","2","1","1","4","2","3","2","3","1","2","4","3","1","4","5","1","1","5","4","4","4","Software Developer"
"3","3","2","1","1","1","1","1","2","2","2","2","1","3","4","2","1","3","1","4","2","5","4","3","5","Technical Support"
"4","4","4","2","2","1","2","4","3","4","3","3","2","4","4","3","1","3","2","3","2","5","4","4","4","Technical Writer"
"2","2","2","2","1","1","2","3","4","5","2","2","2","3","4","2","2","3","2","3","2","4","3","4","4","Technical Support"
"4","4","3","2","1","1","2","1","3","3","1","1","1","3","4","1","1","3","1","3","3","5","3","4","1","Business Analyst"
"1","1","2","3","3","3","2","3","3","3","4","3","2","2","4","2","2","3","3","4","2","3","1","4","5","Web Developer"
"4","4","4","1","2","2","2","4","3","3","3","2","1","3","4","2","2","4","2","1","3","3","4","4","4","Software Developer"
"4","4","3","2","2","1","1","1","2","3","2","2","1","3","4","1","1","3","2","2","3","5","3","3","3","Technical Writer"
"3","3","3","1","1","1","1","2","4","2","1","3","2","3","4","1","1","3","2","1","2","4","4","3","3","UI/UX Designer"
"3","3","2","1","1","1","2","2","3","3","4","4","1","4","4","2","1","4","3","3","2","4","3","3","4","Software Developer"
"4","4","2","2","2","1","2","4","3","3","2","2","2","4","4","2","1","3","2","3","4","2","4","4","5","Web Developer"
"2","4","2","3","2","2","2","2","2","3","2","2","2","4","3","2","1","3","3","2","4","4","4","3","3","Business Analyst"
"4","4","4","3","2","1","1","1","2","3","3","2","2","4","4","2","1","3","1","3","1","4","4","3","1","Web Developer"
"3","4","1","2","1","1","2","2","2","2","1","1","2","4","4","2","1","4","1","1","1","4","3","3","3","Technical Support"
"4","4","3","2","2","1","1","4","2","3","4","2","1","3","4","2","2","2","2","1","1","4","3","4","3","Software Developer"
"4","4","3","3","1","1","1","4","2","3","4","2","2","3","2","2","1","3","3","1","4","3","4","4","1","Technical Writer"
"4","4","4","2","2","1","1","2","3","3","2","2","2","4","3","2","1","3","5","3","2","4","3","4","1","Business Analyst"
"4","4","3","2","1","1","2","2","3","3","2","2","1","3","4","2","3","4","2","1","2","4","4","4","2","UI/UX Designer"
"4","2","2","1","1","1","2","2","3","3","3","3","1","3","4","3","1","1","1","1","2","4","4","3","5","Software Developer"
"4","4","3","2","1","1","2","2","3","3","2","2","2","3","4","2","1","3","1","1","3","4","3","3","1","Software Tester"
"4","4","3","2","2","1","2","1","3","4","3","3","2","3","4","3","1","2","2","1","1","4","3","3","4","Software Developer"
"4","4","4","2","1","1","2","2","3","5","2","2","1","3","3","2","1","3","2","1","2","5","3","4","2","Data Analyst"
"4","3","3","3","2","1","2","1","3","3","2","3","2","4","4","2","1","4","1","4","4","4","4","4","5","Technical Support"
"4","4","4","2","2","1","2","4","2","3","4","2","2","3","4","4","1","4","1","1","4","4","4","4","3","Software Developer"
"4","3","2","2","1","1","2","2","2","2","2","1","1","3","4","2","1","1","2","2","2","2","3","3","1","Software Tester"
"1","1","2","2","2","2","2","1","1","2","2","2","2","1","3","1","1","3","2","2","1","3","4","3","5","Business Analyst"
"4","3","2","2","2","1","2","1","2","3","2","2","2","4","4","2","1","1","2","1","1","4","4","3","4","Web Developer"
"3","3","3","2","1","2","1","2","2","2","2","2","2","2","4","2","1","4","2","3","2","5","4","4","1","Technical Support"
"3","3","1","1","1","1","2","1","4","2","1","1","2","1","4","2","1","3","2","1","3","4","4","3","1","Software Tester"
"4","3","2","1","2","1","1","1","3","3","2","2","2","1","4","2","1","1","1","1","2","5","4","3","3","Technical Support"
"2","3","2","3","1","1","2","1","2","3","2","1","2","4","4","1","1","1","1","2","3","4","3","3","1","Data Analyst"
"4","3","3","2","2","1","1","1","3","3","2","1","1","1","1","2","1","1","1","4","2","4","3","3","5","Software Developer"
"4","4","2","3","1","1","1","1","2","3","2","2","2","3","2","2","1","1","1","1","2","4","3","3","2",""
"3","4","1","1","3","1","1","1","3","3","1","2","1","3","3","1","1","4","1","1","2","5","3","3","4",""
"4","4","2","1","1","1","2","2","2","2","3","3","2","3","3","1","1","3","5","3","4","4","3","3","5",""
"4","4","4","1","2","1","1","2","3","3","3","2","1","3","4","3","1","3","3","1","1","3","4","4","3",""
"3","4","1","2","1","1","2","2","4","3","3","4","2","3","4","4","1","1","2","1","2","3","4","3","1",""
"1","3","1","2","1","1","2","1","2","2","2","2","2","4","3","1","1","1","2","4","2","3","4","3","2",""
"2","3","2","1","1","1","2","1","3","2","2","2","2","3","2","1","1","4","2","4","4","4","4","3","3",""
"4","4","3","3","3","1","1","2","4","2","3","3","2","4","4","3","1","3","2","3","2","3","4","4","1",""
"1","2","3","3","1","1","1","2","2","3","2","1","2","4","4","2","1","3","1","3","3","4","4","3","1",""
"4","4","3","1","1","1","1","1","3","3","2","2","2","3","2","2","1","3","1","1","3","4","3","3","1",""
"2","1","2","1","2","1","2","1","4","3","4","4","1","4","4","3","1","1","1","3","2","4","4","4","5",""
"4","4","2","2","1","1","2","2","3","2","1","1","1","3","4","1","1","3","3","1","4","4","4","3","5",""
"3","4","3","3","3","1","2","4","3","3","3","2","2","4","4","2","2","2","1","3","2","4","4","4","1",""
"3","3","3","2","1","1","2","1","2","3","3","3","2","4","4","3","1","3","3","2","4","4","4","3","3",""
"4","4","3","2","1","1","1","1","3","4","2","2","1","3","4","3","1","4","3","1","1","4","3","3","1",""
"2","3","2","3","2","2","2","3","3","3","3","2","2","4","4","3","1","3","1","3","4","4","4","4","3",""
"3","4","3","1","1","1","2","2","3","4","3","2","2","2","4","2","1","3","2","1","2","5","4","3","3",""
"2","2","1","1","2","1","1","3","3","2","1","2","1","3","2","2","1","1","1","2","3","4","3","3","1",""
"4","4","3","1","2","1","1","1","3","3","1","2","2","4","4","1","1","3","1","1","1","5","4","4","3",""
"4","3","3","2","1","1","1","3","2","2","3","3","2","4","3","2","2","3","2","1","2","4","4","4","2",""
"2","3","2","2","1","1","2","1","2","2","2","2","1","4","3","2","1","3","2","3","3","4","3","3","2",""
"1","1","2","1","1","1","2","1","3","3","1","3","2","4","4","2","1","1","1","1","2","4","3","3","5",""
"2","3","2","2","1","1","2","2","2","2","3","3","2","2","4","2","1","4","3","2","1","4","3","3","4",""
"2","3","1","1","1","1","2","2","2","3","3","2","2","4","4","3","1","1","1","1","1","4","4","3","4",""
"3","2","1","1","1","1","2","2","3","2","1","4","2","3","2","1","1","4","2","4","2","3","4","3","5",""
"2","3","2","1","1","1","2","1","2","2","2","2","1","3","2","2","1","3","1","2","4","3","4","4","5",""
"2","2","1","1","1","1","2","2","4","3","1","4","2","4","4","2","1","1","2","3","4","4","4","3","5",""
"1","2","1","1","1","1","2","1","3","3","1","2","2","4","2","2","1","1","1","2","4","3","4","4","5",""
"2","2","2","2","1","1","2","1","2","3","1","1","1","3","3","2","1","4","2","2","2","4","3","3","1",""
"2","3","2","1","1","1","2","4","4","4","2","2","1","3","2","1","1","3","3","1","3","5","4","4","2",""
"3","4","2","1","1","1","2","1","2","2","2","2","2","2","4","2","1","4","1","4","1","5","4","3","5",""
"3","3","2","1","1","1","1","1","3","2","1","1","1","3","4","2","1","4","1","2","1","5","4","3","1",""
"4","3","3","1","1","1","2","2","3","3","4","3","1","3","4","2","1","2","2","1","1","4","3","3","4",""
"2","3","3","2","1","1","1","1","4","2","1","2","1","3","4","2","1","2","1","2","3","4","4","4","2",""
"2","1","1","2","1","1","1","2","2","2","4","3","2","4","2","1","1","1","1","1","2","5","4","4","5",""
"1","2","2","1","4","1","1","3","3","3","3","3","1","3","4","2","3","3","1","1","4","5","4","4","4",""
"3","3","2","2","2","1","1","1","3","3","3","3","2","3","4","2","1","3","3","3","2","3","3","3","3",""
"4","4","2","1","1","1","1","4","3","3","3","3","2","3","4","3","1","1","1","1","2","3","4","4","5",""
"4","4","3","1","1","1","1","4","4","5","4","4","2","3","4","1","1","4","1","2","1","5","4","4","1",""
"3","4","2","2","1","1","2","2","3","3","2","2","2","4","4","3","1","3","2","2","1","4","4","3","1",""
"1","1","2","1","4","2","2","4","3","4","4","3","2","4","4","3","4","4","2","4","4","4","4","4","4",""
"2","3","2","1","2","1","1","4","4","3","4","4","2","4","4","3","1","4","2","2","1","3","4","4","4",""
"2","4","2","1","1","2","2","1","3","3","2","1","2","4","4","1","2","4","3","2","1","4","3","3","3",""
"4","4","2","1","3","2","2","1","3","5","3","4","2","3","4","3","4","4","2","2","2","4","4","3","4",""
"4","4","3","2","4","2","1","1","2","3","3","3","2","4","4","3","2","4","1","2","1","3","3","3","3",""
"3","3","3","1","2","1","2","1","3","3","3","3","2","4","4","4","1","3","3","1","2","5","4","4","1",""
"2","2","1","1","1","2","1","1","3","3","2","2","1","3","2","3","1","1","1","3","2","3","4","3","4",""
"2","3","1","3","2","1","1","4","3","4","4","3","1","2","4","3","1","4","1","2","2","3","3","3","3",""
"3","3","3","2","2","1","2","1","3","3","3","3","2","4","4","1","2","3","5","3","1","3","4","4","4",""
"3","2","1","2","1","1","2","1","3","3","2","2","2","3","2","1","1","3","1","1","2","5","3","3","3",""
"2","1","1","2","2","1","2","2","3","3","4","4","1","3","4","2","2","3","3","2","4","4","4","3","4",""
"4","4","2","2","1","1","1","1","3","3","4","3","2","4","4","2","1","4","2","3","2","4","4","4","1",""
"4","4","3","2","1","1","2","4","4","3","2","2","2","3","4","2","1","2","2","1","3","4","4","4","1",""
"4","4","3","3","2","1","1","2","2","3","2","1","2","4","3","1","1","4","2","2","2","4","3","3","3",""
"2","2","2","4","1","1","2","4","3","3","2","3","2","4","4","3","1","3","1","2","1","4","3","3","4",""
"3","2","2","3","3","1","2","2","3","4","3","3","1","4","3","1","2","2","3","2","1","3","3","3","4",""
"3","4","3","2","1","1","2","1","3","3","2","2","2","4","2","2","1","4","1","2","3","4","3","3","1",""
"2","3","3","2","2","4","2","3","3","3","3","3","2","3","4","3","4","4","2","3","1","3","3","3","5",""
"3","4","2","2","1","1","1","1","3","3","3","3","2","4","4","3","1","4","2","1","2","4","4","3","4",""
"4","4","4","2","2","2","1","1","2","2","2","3","2","3","4","1","1","3","1","1","3","5","4","4","3",""
"2","2","1","2","1","1","2","3","4","2","2","3","2","2","2","2","1","4","1","4","1","3","4","3","5",""
